rating_alternateName,claimReview_url,creativeWork_author_name	,claimReview_claim,claimReview_Title,claimReview_datePublished,claimReview_Verdict,claimReview_source	
False,https://fullfact.org/health/us-defence-data-covid-robert-malone/,Abbas Panjwani,Data from the US military shows a sharp rise in the incidence of various diseases in 2021.,"US defence data showing rise in diseases in 2021 was produced in error
",2/18/2022,"The data supporting this claim is flawed, and has been withdrawn by officials.",Fullfact
Mixture,https://fullfact.org/health/pandemic-overspending-facebook-video/?utm_source=content_page&utm_medium=related_content,Abbas Panjwani,NHS Test and Trace spent £37 billion on an app.,Test and Trace money wasn’t just spent on an app,2/21/2022,"NHS Test and Trace was allocated £37 billion for the first two years of operation, but expects to spend about £28 billion. The tracing app accounted for less than 1% of this spend, most of which went on testing.",Fullfact
False,https://fullfact.org/health/washington-post-long-covid/?utm_source=content_page&utm_medium=related_content,Abbas Panjwani,At least 50% of people who survive Covid-19 have debilitating health issues in the months afterwards.,Washington Post overstates prevalence of long Covid,2/16/2022,This is far too high. There are various estimates for the prevalence of long Covid. The Office for National Statistics estimated that 7.5% of people infected with Covid-19 self-reported having long Covid three months after infection which limited their daily activities.,Fullfact
False,https://fullfact.org/health/hiv-covid-vaccine-queensland/?utm_source=content_page&utm_medium=related_content,Abbas Panjwani,The BBC said there is HIV in the Covid-19 vaccines.,Potential Covid-19 vaccine which used HIV protein was never rolled out,2/16/2022,"The BBC was talking about a vaccine which was trialled but never rolled out, which contained a small piece of HIV protein. None of the Covid-19 vaccines in use contain HIV material.",Fullfact
Mixture,https://fullfact.org/online/pfizer-covid-vaccine-sex-rules/?utm_source=content_page&utm_medium=related_content,Leo Benedictus,You are not meant to have unprotected sex after a second dose of the Pfizer Covid-19 vaccine as it could cause birth defects due to genetic manipulation.,Pfizer’s Covid-19 vaccine does not cause birth defects,2/17/2022,"This is not advice for everyone who’s had the Pfizer vaccine. There is no evidence the vaccine causes birth defects. This was a precaution in the vaccine trial, as is standard in many trials, to prevent participants conceiving shortly afterwards, but there was no suspicion of a link with birth defects.",Fullfact
False,https://fullfact.org/online/duvet-heart-attack/?utm_source=content_page&utm_medium=related_content,Grace Rahman,"An ITV News article has the headline “Shaking the duvet too vigorously while making your bed can increase your chances of a heart attack, scientists warn”.",Warning that vigorous duvet-shaking can raise risk of heart attack is fake,2/16/2022,The screenshot showing this has been doctored and no such article exists.,Fullfact
True,https://fullfact.org/election-2019/accident-emergency-waiting-2019/,Joël Reland,A&E waiting times in England hit worst-ever level.,A&E waiting times have hit their worst levels on record,11/18/2019,"Correct, looking at data which goes back to 2010.",Fullfact
False,https://fullfact.org/online/video-monster-crawling-buildings/,Daniella de Block Golding,Videos show a four legged monster climbing over buildings in Russia.,Video of monster climbing buildings appears to be a hoax,12/15/2021,"One of the videos has previously been reported as a hoax, and was created by a graphic designer. Nobody has publicly admitted to creating the other video from 2013.

",Fullfact
False,https://fullfact.org/online/iceland-ceo-scam/?utm_source=content_page&utm_medium=related_content,Grace Rahman,Iceland’s CEO is offering anyone who shares or comments on a Facebook post a box of essential goods worth £40.,Iceland’s CEO is not offering free food to people who like a Facebook page,2/21/2022,This is false. Iceland has said the post has nothing to do with them.,Fullfact
False,https://fullfact.org/online/storm-eunice-car-insurance/?utm_source=content_page&utm_medium=related_content,Abbas Panjwani,If you drive during Storm Eunice your car insurance will be voided.,Driving during red weather warning won’t void your insurance,2/18/2022,"False. Driving during bad weather does not void car insurance, though driving negligently may affect any compensation or payout you receive should you need to make a claim.",Fullfact
